country_id,country,region,iso_alpha3,has_binding_legislation,has_risk_based_approach,has_enforcement_mech,has_transparency_oblig,has_human_oversight,has_penalty_framework,has_national_ai_strategy,has_prohibited_practices,regulation_score,max_possible_score,score_pct,regulatory_cluster,notes
EU_001,European Union,Europe,EUU,2,2,2,2,2,2,2,2,16,16,100.0%,Regulatory Hawk,Comprehensive EU AI Act (Aug 2024). Full enforcement Aug 2026. Fines up to €35M or 7% global turnover. Risk-based 4-tier framework. Strongest AI regulation globally.
GBR_002,United Kingdom,Europe,GBR,0,1,0,1,1,0,2,0,5,16,31.2%,Regulatory Dove,No binding AI law. Sector-by-sector approach. Pro-innovation whitepaper 2023. AI Safety Institute operational. Diverging from EU post-Brexit. Expected binding legislation 2026-27.
DEU_003,Germany,Europe,DEU,2,2,2,2,2,2,2,2,16,16,100.0%,Regulatory Hawk,Bound by EU AI Act. Additionally: Italy-style national additions possible. Strong enforcement culture. German Federal AI Strategy active. NLP and industrial AI focus.
FRA_004,France,Europe,FRA,2,2,2,2,2,2,2,2,16,16,100.0%,Regulatory Hawk,Bound by EU AI Act. CNIL (data regulator) actively enforcing AI + GDPR crossover. France advocates for EU AI competitiveness. National AI strategy 2021 updated 2024.
CHE_005,Switzerland,Europe,CHE,1,1,0,1,1,0,2,1,7,16,43.8%,Developing Framework,Not EU member but follows many EU norms voluntarily. Federal Council guidelines on AI. No binding legislation yet. Finma (financial regulator) has AI guidance. Watching EU approach closely.
NOR_006,Norway,Europe,NOR,2,2,2,2,2,2,2,2,16,16,100.0%,Regulatory Hawk,EEA member — adopts EU AI Act. Norwegian Data Protection Authority active on AI. Strong national digital strategy. Aligns fully with EU framework.
SWE_007,Sweden,Europe,SWE,2,2,2,2,2,2,2,2,16,16,100.0%,Regulatory Hawk,EU member — bound by EU AI Act. Swedish AI Commission published recommendations 2024. Strong public sector AI governance. IMY (data regulator) AI enforcement active.
NLD_008,Netherlands,Europe,NLD,2,2,2,2,2,2,2,2,16,16,100.0%,Regulatory Hawk,EU member — bound by EU AI Act. AP (Dutch DPA) one of most active AI enforcers in EU. Government AI action plan 2023. Strong algorithmic transparency tradition.
ITA_009,Italy,Europe,ITA,2,2,2,2,2,2,2,2,16,16,100.0%,Regulatory Hawk,EU AI Act + Italy Law No. 132/2025 — first EU country with standalone national AI law. Prison terms for malicious AI use (deepfakes). AGID (digital agency) enforcement. Child access limits on certain AI systems.
ESP_010,Spain,Europe,ESP,2,2,2,2,2,2,2,2,16,16,100.0%,Regulatory Hawk,EU member — bound by EU AI Act. AESIA (Spanish AI Agency) established 2024 — first dedicated national AI regulator in EU. National AI Strategy 2024. Active in AI sandbox development.
USA_011,United States,Americas,USA,0,1,0,1,0,0,2,0,4,16,25.0%,Regulatory Dove,No federal AI law. Trump executive orders (Jan 2025) removing regulatory barriers. AI litigation task force suing states with AI safety laws. FTC/SEC sector guidance only. Colorado AI Act (state-level) delayed to Jun 2026. Deregulatory trend dominant.
CAN_012,Canada,Americas,CAN,1,1,0,1,1,0,2,1,7,16,43.8%,Developing Framework,AIDA (Artificial Intelligence and Data Act) proposed — not yet in force. Risk-based approach for high-impact systems. Privacy Act modernisation ongoing. ISED oversight proposed. Expected 2025-26 enactment.
BRA_013,Brazil,Americas,BRA,1,2,1,2,2,1,2,2,13,16,81.2%,Regulatory Hawk,"Bill No. 2338/2023 — Senate approved Dec 2024, in extended legislative process. Closely mirrors EU AI Act. Risk-based classification. Bans excessive-risk systems. Individual rights to contest AI decisions. Expected enactment 2026."
ARG_014,Argentina,Americas,ARG,0,0,0,1,0,0,1,0,2,16,12.5%,Regulatory Dove,Draft Bill on Personal Data Protection in AI Systems proposed. No binding AI law yet. National AI Plan exists. Regulatory framework at early stage.
MEX_015,Mexico,Americas,MEX,0,0,0,0,0,0,1,0,1,16,6.2%,Regulatory Dove,No AI-specific legislation. General data protection law (LFPDPPP) applies to some AI use cases. National AI strategy under development. Early-stage regulatory environment.
CHN_016,China,Asia-Pacific,CHN,2,0,2,2,1,2,2,2,13,16,81.2%,Regulatory Hawk,"Multiple use-case laws: Algorithmic Recommendation (2022), Generative AI Services (2023), Synthetic Content Labelling (Sep 2025). Draft comprehensive AI Law proposed May 2024. Amended Cybersecurity Law (Jan 2026) adds AI security reviews. Strong state control model."
JPN_017,Japan,Asia-Pacific,JPN,1,1,0,1,1,0,2,0,6,16,37.5%,Regulatory Dove,"AI Promotion Act (May 2025) — voluntary, light-touch. Encourages cooperation, no enforcement mechanism. Government can disclose names of violators. Sector-specific guidance from regulators. Deliberate non-binding approach to promote innovation."
KOR_018,South Korea,Asia-Pacific,KOR,2,2,2,2,2,2,2,2,16,16,100.0%,Regulatory Hawk,"AI Basic Act — first comprehensive AI law in Asia-Pacific. In force Jan 2026. Risk-based, extraterritorial scope. Transparency, human oversight, documentation requirements. High-impact AI systems face strict obligations. AI Safety Institute established."
SGP_019,Singapore,Asia-Pacific,SGP,1,1,0,2,1,0,2,0,7,16,43.8%,Developing Framework,"Sectoral approach. AI Verify framework — voluntary certification. MAS Veritas Toolkit for financial AI. No comprehensive binding law. Model AI Governance Framework. Agile, innovation-first approach. Likely to introduce binding rules 2026-27."
IND_020,India,Asia-Pacific,IND,0,0,0,1,0,0,2,0,3,16,18.8%,Regulatory Dove,No binding AI law. Digital Personal Data Protection Act (DPDPA) enforcement mid-2025 — covers some AI use cases. Proposed Digital India Act includes AI provisions. Advisory on AI from MeitY (voluntary). Soft law approach dominant.
AUS_021,Australia,Asia-Pacific,AUS,0,1,0,1,1,0,2,0,5,16,31.2%,Regulatory Dove,Parliamentary committee recommended new comprehensive AI legislation (Nov 2024). Privacy Act reformed — automated decision transparency. AI Ethics Principles (voluntary). OECD AI Principles signatory. Binding legislation expected 2026-27.
VNM_022,Vietnam,Asia-Pacific,VNM,2,1,1,2,1,1,2,2,12,16,75.0%,Regulatory Hawk,"Law on Digital Technology — AI provisions effective 2026. Labelling requirements, transparency obligations, prohibitions tied to human rights. First dedicated AI law in Southeast Asia."
KAZ_023,Kazakhstan,Asia-Pacific,KAZ,2,2,1,2,2,1,2,2,14,16,87.5%,Regulatory Hawk,"AI law passed — risk-based classification. Use cases in employment, education, financial services subject to strict obligations. Convergence with EU/Korean approach. One of earliest Central Asian AI laws."
UAE_024,UAE,Middle East,ARE,1,0,0,1,0,0,2,0,4,16,25.0%,Regulatory Dove,"AI Strategy 2031 — global AI leadership target. Dedicated Ministry of AI. DIFC AI Licence formalising AI company operations. Stargate UAE (5GW AI datacentre initiative). Innovation-first, light-touch regulation. No comprehensive binding law."
SAU_025,Saudi Arabia,Middle East,SAU,0,0,0,0,0,0,2,0,2,16,12.5%,Regulatory Dove,National AI Strategy — economic diversification focus. SDAIA (data/AI authority) oversight. No binding AI law. Regulatory framework at early stage. Vision 2030 AI investment focus.
ZAF_026,South Africa,Africa,ZAF,0,0,0,1,0,0,1,0,2,16,12.5%,Regulatory Dove,No AI-specific legislation. POPIA (data protection law) applies to some AI use cases. National AI Policy Framework published 2023 — voluntary. CSIR AI research focus. Nascent regulatory environment.
KEN_027,Kenya,Africa,KEN,0,0,0,1,0,0,2,0,3,16,18.8%,Regulatory Dove,National AI Strategy 2023 — one of Africa's most developed. Data Protection Act applies. Digital Economy Blueprint. No binding AI law but ahead of regional peers on governance thinking.
NGA_028,Nigeria,Africa,NGA,0,0,0,0,0,0,1,0,1,16,6.2%,Regulatory Dove,National AI Strategy published 2024. NITDA (IT regulator) AI guidance. No binding legislation. Data Protection Act 2023 provides some coverage. Early-stage environment.
RWA_029,Rwanda,Africa,RWA,0,0,0,1,0,0,2,0,3,16,18.8%,Regulatory Dove,Smart Rwanda 2020-2050 strategy. Digital Development Authority oversight. One of Africa's most digitally progressive environments. No binding AI law but strong national strategy and openness to responsible AI frameworks.
ISR_030,Israel,Other,ISR,1,1,0,2,1,0,2,1,8,16,50.0%,Developing Framework,Innovation Authority AI governance framework. No comprehensive binding law. Strong military/intelligence AI use with separate classified governance. ILITA (privacy authority) AI guidance. Unique security-driven AI development context.
